Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in (Year),Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State, Yearly Revenue , Monthly Sales , Gross Margin , Net Margin ,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped, Original Ask Amount ,Original Offered Equity, Valuation Requested ,Received Offer,Accepted Offer, Total Deal Amount ,Total Deal Equity, Total Deal Debt ,Debt Interest, Deal Valuation ,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity, Namita Investment Amount ,Namita Investment Equity, Namita Debt Amount , Vineeta Investment Amount ,Vineeta Investment Equity, Vineeta Debt Amount , Anupam Investment Amount ,Anupam Investment Equity, Anupam Debt Amount , Aman Investment Amount ,Aman Investment Equity, Aman Debt Amount , Peyush Investment Amount ,Peyush Investment Equity, Peyush Debt Amount , Amit Investment Amount ,Amit Investment Equity, Amit Debt Amount , Ashneer Investment Amount ,Ashneer Investment Equity, Ashneer Debt Amount , Guest Investment Amount ,Guest Investment Equity, Guest Debt Amount ,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
3,$KrishnaRama,51,474,1/22/2024,3/31/2024,3/30/2024,Brilliant Businesses,Snehil Dixit Mehra,Entertainment,Movie,Not Available,2023,2,2,0,0,0,Middle,Hyderabad,Telangana, ? -   , ? -   , ? -   , ? -   ,,No,Unknown,,," ? 20,000,000.00 ",30," ? 66,666,666.67 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,Azhar Iqubal,1,1,1,1,0,0,0,1
3,2Ballz,12,357,1/22/2024,3/31/2024,2/6/2024,Showcase Of Innovation,Rahul Dua,Beauty/Fashion,Mens Innerwear,https://2ballz.com/,2023,3,3,0,0,0,Middle,Indore,Madhya Pradesh, ? -   ," ? 16,400,000.00 ", ? -   , ? -   ,,No,Unknown,,," ? 3,000,000.00 ",5," ? 60,000,000.00 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,Ritesh Aggarwal,0,1,1,1,1,0,0,1
3,80Wash,4,333,1/22/2024,3/31/2024,1/25/2024,Smart Solutions For A Smarter India,Rahul Dua,Manufacturing,Waterless washing machine,https://80wash.com/,2021,3,3,0,0,0,Middle,Chandigarh,Punjab, ? -   , ? -   , ? -   , ? -   ,,No,Unknown,yes,," ? 10,000,000.00 ",2.5," ? 400,000,000.00 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,Azhar Iqubal,0,1,1,1,1,0,0,1
2,Aadvik,43,291,1/2/2023,3/10/2023,3/1/2023,Creating Value Through Ideas,Rahul Dua,Food,Buy Camel & Goat Milk,https://aadvikfoods.com/,2015,2,2,0,0,0,Middle,Delhi,Delhi," ? 72,000,000.00 "," ? 5,000,000.00 ", ? -   , ? -   ,,No,Unknown,,," ? 6,000,000.00 ",1.5," ? 400,000,000.00 ",1,1," ? 1,500,000.00 ",1.5," ? 4,500,000.00 ",12," ? 100,000,000.00 ",1,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 1,500,000.00 ",1.5," ? 4,500,000.00 ", ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,0,1,1,1,1,0,0
3,Aastey,23,390,1/22/2024,3/31/2024,2/21/2024,Celebrating Entrepreneurial Breakthroughs,Rahul Dua,Beauty/Fashion,Athleisure Wear Company,https://aastey.com/,2021,2,0,2,0,0,Middle,"Delhi,Mumbai","Delhi,Maharashtra", ? -   ," ? 15,000,000.00 ", ? -   , ? -   ,,No,Unknown,,," ? 8,000,000.00 ",2," ? 400,000,000.00 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,1,0,0,0
1,AasVidyalaya,17,52,12/20/2021,2/4/2022,1/11/2022,A Wave Of Startups,Rannvijay Singh,Education,EdTech App,https://www.aasvidyalaya.com/,2019,2,1,1,0,1,Middle,Mumbai,Maharashtra," ? 15,000,000.00 ", ? -   , ? -   , ? -   ,,No,Unknown,,," ? 15,000,000.00 ",3," ? 500,000,000.00 ",1,1," ? 15,000,000.00 ",15, ? -   ,," ? 100,000,000.00 ",3,,,," ? 5,000,000.00 ",5, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 5,000,000.00 ",5, ? -   , ? -   ,, ? -   ," ? 5,000,000.00 ",5, ? -   , ? -   ,, ? -   ,Not Present,None,1,0,1,1,1,0,1,0
2,ABCSports&Fitness,11,182,1/2/2023,3/10/2023,1/16/2023,Investing The Right Way,Rahul Dua,Sports,Sports training institute,https://www.abcfitnessfirm.com/,2016,2,2,0,0,0,Middle,Pune,Maharashtra, ? -   , ? -   , ? -   , ? -   ,,No,Unknown,,," ? 4,000,000.00 ",2," ? 200,000,000.00 ",1,1," ? 4,000,000.00 ",10, ? -   ,," ? 40,000,000.00 ",1,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ," ? 4,000,000.00 ",10, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,1,0,0,0
3,AdilQadri,1,323,1/22/2024,3/31/2024,1/22/2024,Bigger Better and Smarter,Rahul Dua,Beauty/Fashion,Perfumes and Attar,https://www.adilqadri.com/,2020,1,1,0,0,0,Young,Bilimora,Gujarat," ? 207,000,000.00 "," ? 60,000,000.00 "," ? 7,000,000.00 ", ? -   ,,yes,Unknown,,," ? 10,000,000.00 ",0.5," ? 2,000,000,000.00 ",1,1," ? 10,000,000.00 ",1, ? -   ,," ? 1,000,000,000.00 ",1,,1,, ? -   ,, ? -   ," ? 10,000,000.00 ",1, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,0,1,0,0
1,Agritourism,2,6,12/20/2021,2/4/2022,12/21/2021,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Agriculture,Tourism,https://www.agritourism.in/,2005,2,1,1,0,1,Middle,Baramati,Maharashtra," ? 7,900,000.00 ", ? -   , ? -   , ? -   ,,No,Unknown,,," ? 5,000,000.00 ",5," ? 100,000,000.00 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,None,1,1,1,1,0,0,1,0
3,AiCars,9,347,1/22/2024,3/31/2024,2/1/2024,Entrepreneurial Brilliance,Rahul Dua,Vehicles/Electrical Vehicles,Hydrogen powered AI Car,https://aicars.in/,2021,1,1,0,0,0,Young,Yavatmal,Maharashtra, ? -   , ? -   , ? -   , ? -   ,,No,Unknown,,," ? 20,000,000.00 ",4," ? 500,000,000.00 ",0,-1, ? -   ,, ? -   ,, ? -   ,0,,,, ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   , ? -   ,, ? -   ,Not Present,Deepinder Goyal,1,1,1,1,0,0,0,1
